"vtd","cntyvtd","d","r","winner"
"1315","1131315","3","4","R"
"1712A","1131712A","535","680","R"
"1713","1131713","227","327","R"
"1716","1131716","499","953","R"
"1718","1131718","393","548","R"
"1721","1131721","623","704","R"
"1725","1131725","112","235","R"
"2003","1132003","850","975","R"
"2004","1132004","671","765","R"
"2006","1132006","483","564","R"
"2007","1132007","870","1206","R"
"2008","1132008","467","611","R"
"2010","1132010","506","521","R"
"2011","1132011","640","794","R"
"2013","1132013","380","510","R"
"2014","1132014","128","248","R"
"2016","1132016","1009","1465","R"
"2018","1132018","256","361","R"
"2019","1132019","557","653","R"
"2021","1132021","1001","1556","R"
"2022","1132022","255","263","R"
"2023","1132023","441","445","R"
"2025","1132025","759","1149","R"
"2026","1132026","709","1304","R"
"2027","1132027","380","756","R"
"2029","1132029","429","703","R"
"2030","1132030","380","985","R"
"2034","1132034","514","530","R"
"2036","1132036","767","816","R"
"2041","1132041","1141","1666","R"
"2046","1132046","579","708","R"
"2047","1132047","770","830","R"
"2049","1132049","539","551","R"
"2051","1132051","776","866","R"
"2052","1132052","350","623","R"
"2078","1132078","0","0","T"
"2606","1132606","0","0","T"
"2807B","1132807B","0","0","T"
"2810B","1132810B","0","0","T"
"2904","1132904","2","2","T"
"3008B","1133008B","0","0","T"
"3016B","1133016B","0","0","T"
"2056","1132056","373","534","R"
"2057","1132057","142","214","R"
"2059","1132059","337","474","R"
"2060","1132060","767","1044","R"
"2061","1132061","914","1005","R"
"2062","1132062","708","739","R"
"2063","1132063","208","281","R"
"2066","1132066","484","607","R"
"2076","1132076","2","4","R"
"2200","1132200","400","922","R"
"2201","1132201","386","878","R"
"2202","1132202","450","937","R"
"2203","1132203","402","685","R"
"2220","1132220","311","951","R"
"2221","1132221","682","1769","R"
"2222","1132222","617","1490","R"
"2223","1132223","428","672","R"
"2224","1132224","471","566","R"
"2225","1132225","387","758","R"
"2226","1132226","646","1292","R"
"2301","1132301","655","969","R"
"2303","1132303","720","728","R"
"2310","1132310","650","745","R"
"2400","1132400","32","61","R"
"2401","1132401","1049","1107","R"
"2403","1132403","0","1","R"
"2405","1132405","1030","1233","R"
"2501","1132501","375","552","R"
"2502","1132502","464","824","R"
"2503","1132503","715","1084","R"
"2504","1132504","362","470","R"
"2506","1132506","652","814","R"
"2507","1132507","638","775","R"
"2509","1132509","849","1059","R"
"2511","1132511","592","639","R"
"2512","1132512","428","456","R"
"2514","1132514","823","870","R"
"2701","1132701","1091","1215","R"
"2702","1132702","1104","2080","R"
"2706","1132706","812","880","R"
"2708","1132708","1248","1431","R"
"2709","1132709","324","497","R"
"2713","1132713","380","831","R"
"2717","1132717","0","4","R"
"2801","1132801","851","1372","R"
"2802","1132802","1102","1647","R"
"2803","1132803","286","627","R"
"2804","1132804","655","986","R"
"2805","1132805","1175","1461","R"
"2806","1132806","706","950","R"
"2807A","1132807A","745","829","R"
"2808","1132808","789","1134","R"
"2810A","1132810A","5","7","R"
"2900","1132900","898","1088","R"
"2905","1132905","128","253","R"
"2910","1132910","9","12","R"
"2920","1132920","936","1059","R"
"2921","1132921","1078","1497","R"
"2922","1132922","1457","1867","R"
"2923","1132923","925","1200","R"
"2924","1132924","545","610","R"
"2925","1132925","727","1429","R"
"2926","1132926","520","676","R"
"2927","1132927","1437","1714","R"
"3076","1133076","0","0","T"
"3087","1133087","0","0","T"
"3091","1133091","0","0","T"
"3095","1133095","0","0","T"
"3096","1133096","0","0","T"
"3411","1133411","1","1","T"
"3621","1133621","0","0","T"
"3111","1133111","1","7","R"
"3209","1133209","66","68","R"
"3300","1133300","819","910","R"
"3301","1133301","711","899","R"
"3304","1133304","866","867","R"
"3310","1133310","666","777","R"
"3311","1133311","564","754","R"
"3406","1133406","7","12","R"
"3407","1133407","78","106","R"
"3500","1133500","916","2103","R"
"3501","1133501","0","1","R"
"3940B","1133940B","0","0","T"
"4000B","1134000B","0","0","T"
"4000C","1134000C","0","0","T"
"4001B","1134001B","0","0","T"
"4001C","1134001C","0","0","T"
"4003B","1134003B","0","0","T"
"4006B","1134006B","0","0","T"
"4049","1134049","0","0","T"
"4051","1134051","0","0","T"
"4087B","1134087B","0","0","T"
"4091A","1134091A","0","0","T"
"4091B","1134091B","0","0","T"
"4091C","1134091C","0","0","T"
"4097B","1134097B","0","0","T"
"4118","1134118","0","0","T"
"4121","1134121","0","0","T"
"4122","1134122","0","0","T"
"4123","1134123","0","0","T"
"4124","1134124","0","0","T"
"4125","1134125","0","0","T"
"3703","1133703","24","32","R"
"3920","1133920","546","860","R"
"3921","1133921","988","1113","R"
"4014","1134014","619","677","R"
"4023","1134023","0","1","R"
"4029","1134029","4","5","R"
"4048","1134048","4","47","R"
"4095","1134095","12","13","R"
"4099","1134099","359","375","R"
"4106","1134106","41","45","R"
"4112","1134112","10","94","R"
"4117","1134117","9","12","R"
"4518B","1134518B","0","0","T"
"4528","1134528","0","0","T"
"4539","1134539","0","0","T"
"4540","1134540","0","0","T"
"4541","1134541","0","0","T"
"4542","1134542","0","0","T"
"4608B","1134608B","0","0","T"
"4613B","1134613B","0","0","T"
"4627B","1134627B","0","0","T"
"4636","1134636","0","0","T"
"4650","1134650","0","0","T"
"4663","1134663","0","0","T"
"4509","1134509","351","456","R"
"4514","1134514","337","374","R"
"4517","1134517","760","1148","R"
"4531","1134531","133","178","R"
"4600","1134600","629","693","R"
"4601","1134601","1027","1123","R"
"4610","1134610","619","726","R"
"4612","1134612","87","114","R"
"4614","1134614","107","226","R"
"4617","1134617","36","58","R"
"4619","1134619","310","495","R"
"4625","1134625","592","687","R"
"4626","1134626","749","862","R"
"4631","1134631","329","393","R"
"4646","1134646","129","153","R"
"4655","1134655","7","33","R"
"0001","1150001","195","475","R"
"0002","1150002","196","499","R"
"0003","1150003","202","690","R"
"0004","1150004","182","646","R"
"0005","1150005","15","82","R"
"0011","1150011","23","89","R"
"0012","1150012","5","38","R"
"0013","1150013","10","70","R"
"0017","1150017","7","47","R"
"0001","1170001","275","463","R"
"0002","1170002","263","479","R"
"0003","1170003","322","1421","R"
"0004","1170004","325","548","R"
"0001","1190001","71","454","R"
"0003","1190003","97","193","R"
"0004","1190004","54","289","R"
"0005","1190005","83","412","R"
"0007","1190007","23","135","R"
"0009","1190009","18","178","R"
"0010","1190010","54","175","R"
"1000","1211000","291","1538","R"
"1001","1211001","164","765","R"
"1002","1211002","510","2007","R"
"1003","1211003","367","1655","R"
"1004","1211004","1693","2823","R"
"1005","1211005","271","1222","R"
"1006","1211006","883","1656","R"
"1007","1211007","1114","2340","R"
"1008","1211008","187","674","R"
"1009","1211009","656","791","R"
"1010","1211010","605","966","R"
"1012","1211012","849","940","R"
"1013","1211013","667","967","R"
"1015","1211015","732","1052","R"
"1016","1211016","691","1189","R"
"1017","1211017","1128","1766","R"
"1018","1211018","1138","1712","R"
"1019","1211019","724","863","R"
"1020","1211020","766","2014","R"
"1021","1211021","588","1430","R"
"1022","1211022","600","1283","R"
"1023","1211023","723","1665","R"
"1024","1211024","296","1005","R"
"1025","1211025","723","1990","R"
"1027","1211027","55","57","R"
"1028","1211028","575","633","R"
"1039","1211039","0","0","T"
"2097","1212097","0","0","T"
"2099","1212099","0","0","T"
"3023B","1213023B","0","0","T"
"3099","1213099","0","0","T"
"1034","1211034","870","1325","R"
"1035","1211035","886","1815","R"
"1036","1211036","1326","2686","R"
"1037","1211037","104","392","R"
"1038","1211038","94","130","R"
"1040","1211040","560","1166","R"
"2005","1212005","1174","1568","R"
"2006","1212006","891","1005","R"
"2009","1212009","661","779","R"
"2010","1212010","1102","1396","R"
"2011","1212011","920","928","R"
"2012","1212012","328","818","R"
"2013","1212013","454","664","R"
"2014","1212014","700","1045","R"
"2015","1212015","936","1079","R"
"2016","1212016","1084","1105","R"
"2017","1212017","1861","2502","R"
"2020A","1212020A","322","643","R"
"2020B","1212020B","608","1206","R"
"2021","1212021","1078","1169","R"
"2022","1212022","664","1190","R"
"2023","1212023","1009","1241","R"
"2024","1212024","504","744","R"
"2025","1212025","479","739","R"
"2026","1212026","776","1388","R"
"2027","1212027","607","1079","R"
"2028","1212028","1753","2006","R"
"2029","1212029","579","708","R"
"2030","1212030","1431","1596","R"
"2031","1212031","932","1115","R"
"2032","1212032","663","802","R"
"0002","130002","233","320","R"
"0003","130003","266","454","R"
"0004","130004","29","60","R"
"0005","130005","380","414","R"
"0006","130006","5","55","R"
"0007","130007","306","461","R"
"0008","130008","83","196","R"
"0009","130009","10","67","R"
"0010","130010","200","360","R"
"0011","130011","6","36","R"
"0012","130012","220","418","R"
"0013","130013","354","881","R"
"0014","130014","56","153","R"
"0015","130015","421","518","R"
"0016","130016","41","90","R"
"0018","130018","334","465","R"
"0019","130019","70","152","R"
"0020","130020","441","1668","R"
"0021","130021","21","131","R"
"0022","130022","94","336","R"
"0023","130023","156","185","R"
"0024","130024","265","518","R"
"0007","1310007","22","53","R"
"0008","1310008","492","548","R"
"0001","1330001","178","1424","R"
"0002","1330002","22","180","R"
"0003","1330003","148","803","R"
"0004","1330004","20","196","R"
"0005","1330005","55","356","R"
"0006","1330006","18","186","R"
"0007","1330007","112","1139","R"
"0008","1330008","179","1423","R"
"0009","1330009","44","304","R"
"0101","1350101","624","1454","R"
"0102","1350102","506","832","R"
"0060","1410060","618","629","R"
"0065","1410065","125","151","R"
"0088","1410088","173","181","R"
"0183","1410183","0","0","T"
"0187","1410187","0","0","T"
"0190","1410190","0","0","T"
"024BB","153024BB","0","0","T"
"0010","1430010","123","399","R"
"0011","1430011","71","177","R"
"0012","1430012","131","637","R"
"0018","1430018","142","1001","R"
"0019","1430019","113","714","R"
"0020","1430020","118","576","R"
"0021","1430021","119","692","R"
"0023","1430023","48","266","R"
"0024","1430024","97","449","R"
"0025","1430025","59","390","R"
"0030","1430030","53","389","R"
"0031","1430031","109","698","R"
"0032","1430032","141","795","R"
"0033","1430033","143","343","R"
"0034","1430034","75","648","R"
"0035","1430035","38","39","R"
"0041","1430041","58","406","R"
"0044","1430044","125","1097","R"
"3053","1573053","0","0","T"
"4027","1574027","0","0","T"
"2022","1572022","900","1147","R"
"2090","1572090","226","265","R"
"3004","1573004","1468","2187","R"
"3005","1573005","1357","2903","R"
"3006","1573006","1195","2700","R"
"3009","1573009","613","1522","R"
"3014","1573014","1211","3277","R"
"3019","1573019","157","532","R"
"3038","1573038","1317","1908","R"
"3041","1573041","354","1009","R"
"3057","1573057","62","349","R"
"3063","1573063","485","1656","R"
"3069","1573069","134","160","R"
"3095","1573095","676","803","R"
"3104","1573104","760","2053","R"
"3122","1573122","777","1749","R"
"3130","1573130","1141","1792","R"
"3132","1573132","1252","1733","R"
"3133","1573133","828","1560","R"
"3142","1573142","1038","1487","R"
"3143","1573143","2085","2806","R"
"3144","1573144","924","1623","R"
"3145","1573145","625","843","R"
"3146","1573146","1652","2014","R"
"3148","1573148","1027","2575","R"
"3149","1573149","562","2459","R"
"4011","1574011","449","611","R"
"4020","1574020","587","1331","R"
"4026","1574026","971","1094","R"
"4028","1574028","775","781","R"
"4029","1574029","383","891","R"
"4030","1574030","811","1103","R"
"4042","1574042","170","456","R"
"4064","1574064","310","383","R"
"4082","1574082","1291","2142","R"
"4105","1574105","441","468","R"
"4107","1574107","521","842","R"
"4111","1574111","390","466","R"
"4119","1574119","872","1330","R"
"4131","1574131","532","705","R"
"4140","1574140","919","1085","R"
"0101","1590101","109","628","R"
"0102","1590102","42","277","R"
"0201","1590201","36","311","R"
"0202","1590202","144","420","R"
"0301","1590301","69","439","R"
"0302","1590302","76","381","R"
"0401","1590401","119","689","R"
"0402","1590402","70","438","R"
"0001","1610001","228","1668","R"
"0002","1610002","323","641","R"
"0003","1610003","7","99","R"
"0004","1610004","25","235","R"
"0005","1610005","316","972","R"
"0006","1610006","36","298","R"
"0007","1610007","94","349","R"
"0008","1610008","54","309","R"
"0009","1610009","58","288","R"
"0010","1610010","9","219","R"
"0011","1610011","196","213","R"
"0012","1610012","12","101","R"
"0168","1670168","0","0","T"
"0169","1670169","0","0","T"
"0312","1670312","0","0","T"
"0316B","1670316B","0","0","T"
"0391","1670391","38","38","T"
"0401","1670401","0","0","T"
"1651","1671651","0","0","T"
"2321","1672321","0","0","T"
"2322","1672322","0","0","T"
"2801","1672801","0","0","T"
"3061","1673061","0","0","T"
"0104","1670104","96","442","R"
"0105","1670105","49","83","R"
"0142","1670142","566","767","R"
"0144","1670144","445","1023","R"
"0146","1670146","585","1001","R"
"0148","1670148","814","1317","R"
"0150","1670150","473","828","R"
"0151","1670151","433","1318","R"
"0152","1670152","891","2197","R"
"0159","1670159","710","1431","R"
"0165","1670165","684","1650","R"
"0166","1670166","527","1264","R"
"0167","1670167","1007","2480","R"
"0170","1670170","517","1343","R"
"0172","1670172","86","225","R"
"0192","1670192","111","250","R"
"0193","1670193","517","1101","R"
"0197","1670197","124","346","R"
"0219","1670219","487","627","R"
"0220","1670220","1113","1969","R"
"0205B","1810205B","0","0","T"
"0123","1870123","0","0","T"
"0222","1870222","0","0","T"
"0108A","1810108A","125","792","R"
"0108B","1810108B","15","89","R"
"0201","1810201","501","1296","R"
"0202","1810202","454","1355","R"
"0203","1810203","203","297","R"
"0204","1810204","119","521","R"
"0205A","1810205A","384","1939","R"
"0206","1810206","175","679","R"
"0207","1810207","99","500","R"
"0208","1810208","176","695","R"
"0209","1810209","108","618","R"
"0210","1810210","160","1077","R"
"0301","1810301","332","659","R"
"0302","1810302","919","2163","R"
"0303","1810303","100","506","R"
"0304","1810304","503","1180","R"
"0305","1810305","116","762","R"
"0306","1810306","286","1983","R"
"0001B","2010001B","0","0","T"
"0308","1890308","4","25","R"
"0316","1890316","165","455","R"
"0317","1890317","19","65","R"
"0318","1890318","85","522","R"
"0406","1890406","154","184","R"
"0407","1890407","118","674","R"
"0408","1890408","81","376","R"
"0409","1890409","114","287","R"
"0419","1890419","6","119","R"
"0420","1890420","25","228","R"
"0101","190101","192","894","R"
"0102","190102","283","1416","R"
"0203","190203","295","1077","R"
"0204","190204","224","769","R"
"0305","190305","119","1289","R"
"0306","190306","207","762","R"
"0407","190407","214","1148","R"
"0408","190408","48","135","R"
"0409","190409","89","356","R"
"0410","190410","55","317","R"
"0101","1910101","50","156","R"
"0201","1910201","7","48","R"
"0202","1910202","41","186","R"
"0301","1910301","9","62","R"
"0302","1910302","26","153","R"
"0401","1910401","14","185","R"
"0402","1910402","17","103","R"
"0001","1930001","69","512","R"
"0004","1930004","10","63","R"
"0005","1930005","15","88","R"
"0007","1930007","142","740","R"
"0009","1930009","21","122","R"
"0012","1930012","8","128","R"
"0014","1930014","13","122","R"
"0015","1930015","5","98","R"
"0017","1930017","7","88","R"
"0022","1930022","104","616","R"
"0023","1930023","85","483","R"
"0001","1950001","33","416","R"
"0002","1950002","3","24","R"
"0003","1950003","16","156","R"
"0004","1950004","32","345","R"
"0005","1950005","32","300","R"
"0006","1950006","49","372","R"
"0007","1950007","1","31","R"
"0009","1950009","5","86","R"
"0001","1970001","68","320","R"
"0002","1970002","36","267","R"
"0003","1970003","69","290","R"
"0004","1970004","76","330","R"
"0001","1990001","246","640","R"
"0002","1990002","308","2617","R"
"0003","1990003","16","367","R"
"0004","1990004","41","453","R"
"0005","1990005","17","373","R"
"0006","1990006","257","2470","R"
"0007","1990007","32","446","R"
"0008","1990008","61","498","R"
"0009","1990009","320","1283","R"
"0011","1990011","75","514","R"
"0012","1990012","78","517","R"
"0013","1990013","97","1345","R"
"0014","1990014","97","904","R"
"0143A","2010143A","0","0","T"
"0209","2010209","0","0","T"
"0088","2010088","144","307","R"
"0090","2010090","723","1849","R"
"0091","2010091","407","512","R"
"0092","2010092","645","953","R"
"0095","2010095","1002","1391","R"
"0097","2010097","674","2148","R"
"0098","2010098","288","1607","R"
"0110","2010110","890","1127","R"
"0111","2010111","1058","2288","R"
"0112","2010112","701","1256","R"
"0114","2010114","725","1885","R"
"0116","2010116","718","1593","R"
"0119","2010119","669","2311","R"
"0120","2010120","1034","1216","R"
"0121","2010121","200","339","R"
"0124","2010124","1101","3501","R"
"0125","2010125","728","775","R"
"0126","2010126","364","1975","R"
"0127","2010127","329","790","R"
"0128","2010128","790","802","R"
"0129","2010129","1587","1683","R"
"0130","2010130","584","1064","R"
"0135","2010135","884","1114","R"
"0137","2010137","382","786","R"
"0141","2010141","166","181","R"
"0143B","2010143B","151","241","R"
"0143C","2010143C","636","1009","R"
"0149","2010149","1592","1684","R"
"0155","2010155","1169","1533","R"
"0165","2010165","701","810","R"
"0173","2010173","781","1962","R"
"0174","2010174","917","1338","R"
"0178","2010178","543","740","R"
"0199","2010199","631","1921","R"
"0213","2010213","731","1672","R"
"0214","2010214","646","681","R"
"0217","2010217","981","1009","R"
"0220","2010220","374","719","R"
"0227","2010227","532","774","R"
"0234","2010234","1041","1925","R"
"0245","2010245","1018","1672","R"
"0246","2010246","992","1522","R"
"0249","2010249","521","896","R"
"0258","2010258","837","1556","R"
"0263","2010263","819","1849","R"
"0265","2010265","906","1522","R"
"0269","2010269","494","1059","R"
"0273","2010273","499","1212","R"
"0274","2010274","640","809","R"
"0279","2010279","445","587","R"
"0282","2010282","623","642","R"
"0290","2010290","251","728","R"
"0300","2010300","1099","2744","R"
"0302","2010302","831","852","R"
"0303","2010303","740","1719","R"
"0306","2010306","476","824","R"
"0307","2010307","773","1328","R"
"0309","2010309","819","1702","R"
"0310","2010310","405","547","R"
"0313","2010313","10","18","R"
"0314","2010314","1640","1962","R"
"0315","2010315","532","547","R"
"0324","2010324","803","1025","R"
"0331","2010331","402","641","R"
"0333","2010333","642","1546","R"
"0340","2010340","772","1753","R"
"0346","2010346","0","1","R"
"0347","2010347","865","1092","R"
"0348","2010348","333","682","R"
"0349","2010349","317","451","R"
"0351","2010351","857","2381","R"
"0352","2010352","720","1701","R"
"0357","2010357","672","1580","R"
"0362","2010362","1088","2098","R"
"0370","2010370","869","2052","R"
"0377","2010377","465","1416","R"
"0378","2010378","375","599","R"
"0382","2010382","220","381","R"
"0385","2010385","515","1080","R"
"0386","2010386","567","1441","R"
"0387","2010387","736","1628","R"
"0391","2010391","556","684","R"
"0395","2010395","488","773","R"
"0457","2010457","0","0","T"
"0493B","2010493B","0","0","T"
"0527B","2010527B","0","0","T"
"0533","2010533","246","246","T"
"0400","2010400","699","1017","R"
"0405","2010405","401","1046","R"
"0407","2010407","1060","1271","R"
"0414","2010414","558","1447","R"
"0415","2010415","530","1001","R"
"0419","2010419","671","888","R"
"0420","2010420","597","2683","R"
"0435","2010435","1035","1314","R"
"0437","2010437","598","867","R"
"0438","2010438","979","1564","R"
"0439","2010439","964","1443","R"
"0440","2010440","675","1429","R"
"0441","2010441","423","716","R"
"0442","2010442","588","2333","R"
"0443","2010443","157","300","R"
"0444","2010444","1041","1073","R"
"0445","2010445","586","732","R"
"0447","2010447","1024","1649","R"
"0451","2010451","433","1536","R"
"0452","2010452","805","1544","R"
"0456","2010456","869","1006","R"
"0459","2010459","704","1884","R"
"0461","2010461","1250","1502","R"
"0464","2010464","548","872","R"
"0469","2010469","462","1394","R"
"0470","2010470","189","544","R"
"0471","2010471","335","1099","R"
"0473","2010473","432","799","R"
"0474","2010474","702","1179","R"
"0477","2010477","810","1659","R"
"0478","2010478","1112","1638","R"
"0479","2010479","750","1784","R"
"0480","2010480","600","1267","R"
"0481","2010481","630","1655","R"
"0482","2010482","894","1778","R"
"0484","2010484","1001","1545","R"
"0485","2010485","715","1630","R"
"0486","2010486","738","2114","R"
"0495","2010495","583","1077","R"
"0499","2010499","637","1088","R"
"0500","2010500","923","1444","R"
"0502","2010502","327","1266","R"
"0503","2010503","463","1148","R"
"0504","2010504","691","933","R"
"0509","2010509","1149","1799","R"
"0511","2010511","1424","1889","R"
"0513","2010513","638","1395","R"
"0514","2010514","891","1796","R"
"0515","2010515","497","1657","R"
"0518","2010518","1057","1346","R"
"0519","2010519","575","1223","R"
"0522","2010522","548","1273","R"
"0523","2010523","975","1371","R"
"0529","2010529","388","1992","R"
"0531","2010531","313","1035","R"
"0532","2010532","201","387","R"
"0534","2010534","712","1653","R"
"0537","2010537","725","1597","R"
"0539","2010539","480","512","R"
"0546","2010546","362","1305","R"
"0547","2010547","526","1014","R"
"0551","2010551","956","2197","R"
"0552","2010552","559","2162","R"
"0666","2010666","0","0","T"
"0681","2010681","3","3","T"
"0561","2010561","627","926","R"
"0563","2010563","702","1870","R"
"0568","2010568","933","1407","R"
"0575","2010575","1090","1248","R"
"0577","2010577","463","561","R"
"0578","2010578","598","708","R"
"0586","2010586","1052","1376","R"
"0588","2010588","831","1558","R"
"0590","2010590","394","1125","R"
"0601","2010601","840","1854","R"
"0602","2010602","313","614","R"
"0603","2010603","1254","1567","R"
"0604","2010604","312","1777","R"
"0609","2010609","1179","1411","R"
"0612","2010612","571","1593","R"
"0616","2010616","810","1448","R"
"0619","2010619","989","2212","R"
"0623","2010623","888","1378","R"
"0624","2010624","86","250","R"
"0631","2010631","762","1330","R"
"0633","2010633","958","1721","R"
"0634","2010634","807","1012","R"
"0635","2010635","534","1454","R"
"0636","2010636","341","2746","R"
"0639","2010639","377","1203","R"
"0640","2010640","924","1159","R"
"0641","2010641","958","1246","R"
"0642","2010642","292","943","R"
"0644","2010644","1197","1399","R"
"0648","2010648","737","1468","R"
"0650","2010650","972","1695","R"
"0651","2010651","1057","1060","R"
"0655","2010655","1221","1292","R"
"0658","2010658","674","990","R"
"0659","2010659","1071","2277","R"
"0662","2010662","554","2162","R"
"0665","2010665","323","1271","R"
"0667","2010667","414","993","R"
"0668","2010668","895","1207","R"
"0669","2010669","877","1522","R"
"0670","2010670","541","1717","R"
"0671","2010671","903","945","R"
"0672","2010672","650","1363","R"
"0673","2010673","387","1601","R"
"0674","2010674","830","1950","R"
"0675","2010675","0","1","R"
"0679","2010679","675","1452","R"
"0682","2010682","743","1918","R"
"0684","2010684","868","1279","R"
"0687","2010687","689","1117","R"
"0688","2010688","676","2078","R"
"0690","2010690","582","1759","R"
"0691","2010691","649","1862","R"
"0692","2010692","548","1264","R"
"0695","2010695","351","529","R"
"0696","2010696","385","594","R"
"0699","2010699","647","903","R"
"0700","2010700","134","806","R"
"0703","2010703","435","895","R"
"0704","2010704","387","1717","R"
"0707","2010707","178","241","R"
"0709","2010709","1300","1310","R"
"0760A","2010760A","0","0","T"
"0794B","2010794B","0","0","T"
"0797","2010797","0","0","T"
"0812","2010812","0","0","T"
"0815","2010815","0","0","T"
"0820","2010820","0","0","T"
"0837","2010837","0","0","T"
"0838","2010838","0","0","T"
"0852","2010852","0","0","T"
"0857","2010857","0","0","T"
"0716","2010716","446","1104","R"
"0718","2010718","1156","1731","R"
"0720","2010720","1031","1948","R"
"0721","2010721","778","1146","R"
"0724","2010724","214","292","R"
"0726","2010726","208","1291","R"
"0728","2010728","239","303","R"
"0729","2010729","119","151","R"
"0730","2010730","685","966","R"
"0732","2010732","507","637","R"
"0734","2010734","996","1728","R"
"0735","2010735","99","110","R"
"0737","2010737","6","18","R"
"0740","2010740","213","218","R"
"0742","2010742","784","1151","R"
"0744","2010744","591","752","R"
"0745","2010745","657","898","R"
"0750","2010750","182","204","R"
"0751","2010751","1494","2174","R"
"0752","2010752","294","544","R"
"0758","2010758","658","1840","R"
"0759","2010759","739","898","R"
"0760B","2010760B","322","1058","R"
"0761","2010761","423","742","R"
"0764A","2010764A","496","692","R"
"0764B","2010764B","736","1029","R"
"0768","2010768","427","1318","R"
"0772","2010772","956","2099","R"
"0776","2010776","798","1038","R"
"0782","2010782","562","748","R"
"0788","2010788","0","2","R"
"0789","2010789","749","949","R"
"0800","2010800","997","1445","R"
"0803","2010803","1031","2007","R"
"0804","2010804","1590","1597","R"
"0805","2010805","462","1453","R"
"0806","2010806","469","714","R"
"0817","2010817","997","2161","R"
"0823","2010823","792","854","R"
"0828","2010828","351","996","R"
"0830","2010830","1","3","R"
"0845","2010845","59","98","R"
"0851","2010851","738","1433","R"
"0853","2010853","565","1407","R"
"0855","2010855","2","5","R"
"0862A","2010862A","900","1152","R"
"0862D","2010862D","0","0","T"
"0866","2010866","0","0","T"
"0867","2010867","0","0","T"
"0870","2010870","1","1","T"
"0901","2010901","0","0","T"
"0904","2010904","1","1","T"
"0908","2010908","0","0","T"
"0915","2010915","0","0","T"
"0922","2010922","0","0","T"
"0924","2010924","0","0","T"
"0925","2010925","0","0","T"
"0929","2010929","0","0","T"
"0937","2010937","0","0","T"
"0939","2010939","1","1","T"
"0948","2010948","0","0","T"
"0950A","2010950A","0","0","T"
"0950B","2010950B","0","0","T"
"0954","2010954","0","0","T"
"0956","2010956","0","0","T"
"0959","2010959","0","0","T"
"0971","2010971","0","0","T"
"0972","2010972","0","0","T"
"0978","2010978","0","0","T"
"0979","2010979","0","0","T"
"0989","2010989","0","0","T"
"0993","2010993","0","0","T"
"0999","2010999","0","0","T"
"1003","2011003","0","0","T"
"1005","2011005","0","0","T"
"1006","2011006","0","0","T"
"1009","2011009","0","0","T"
"1011","2011011","6","6","T"
"0862B","2010862B","56","72","R"
"0862C","2010862C","78","100","R"
"0872","2010872","10","12","R"
"0874","2010874","662","1527","R"
"0876","2010876","778","1588","R"
"0878","2010878","172","583","R"
"0880","2010880","479","1218","R"
