"county","fips","vtd","cntyvtd","office","name_can","party","incumbent","votes"
"Galveston                     ",167,"0398","1670398","RR Comm 1","Salinas","G","N",3
"Galveston                     ",167,"0399","1670399","RR Comm 1","Salinas","G","N",3
"Galveston                     ",167,"0401","1670401","RR Comm 1","Salinas","G","N",0
"Galveston                     ",167,"0439","1670439","RR Comm 1","Salinas","G","N",59
"Galveston                     ",167,"0453","1670453","RR Comm 1","Salinas","G","N",68
"Galveston                     ",167,"0454","1670454","RR Comm 1","Salinas","G","N",70
"Galveston                     ",167,"0455","1670455","RR Comm 1","Salinas","G","N",31
"Galveston                     ",167,"0456","1670456","RR Comm 1","Salinas","G","N",34
"Galveston                     ",167,"0457","1670457","RR Comm 1","Salinas","G","N",61
"Galveston                     ",167,"0460","1670460","RR Comm 1","Salinas","G","N",59
"Galveston                     ",167,"0461","1670461","RR Comm 1","Salinas","G","N",58
"Galveston                     ",167,"0462","1670462","RR Comm 1","Salinas","G","N",27
"Galveston                     ",167,"0464","1670464","RR Comm 1","Salinas","G","N",47
"Galveston                     ",167,"0471","1670471","RR Comm 1","Salinas","G","N",33
"Galveston                     ",167,"0482","1670482","RR Comm 1","Salinas","G","N",1
"Galveston                     ",167,"0487","1670487","RR Comm 1","Salinas","G","N",74
"Galveston                     ",167,"0488","1670488","RR Comm 1","Salinas","G","N",59
"Galveston                     ",167,"0490","1670490","RR Comm 1","Salinas","G","N",61
"Galveston                     ",167,"1051","1671051","RR Comm 1","Salinas","G","N",9
"Galveston                     ",167,"1651","1671651","RR Comm 1","Salinas","G","N",0
"Galveston                     ",167,"2321","1672321","RR Comm 1","Salinas","G","N",0
"Galveston                     ",167,"2322","1672322","RR Comm 1","Salinas","G","N",0
"Galveston                     ",167,"2323","1672323","RR Comm 1","Salinas","G","N",5
"Galveston                     ",167,"2801","1672801","RR Comm 1","Salinas","G","N",0
"Galveston                     ",167,"3061","1673061","RR Comm 1","Salinas","G","N",0
"Galveston                     ",167,"0316A","1670316A","RR Comm 1","Salinas","G","N",53
"Galveston                     ",167,"0316B","1670316B","RR Comm 1","Salinas","G","N",0
"Galveston                     ",167,"3301","1673301","RR Comm 1","Salinas","G","N",0
"Galveston                     ",167,"3311","1673311","RR Comm 1","Salinas","G","N",5
"Galveston                     ",167,"4391","1674391","RR Comm 1","Salinas","G","N",0
"Galveston                     ",167,"0103","1670103","Sup Ct 3","Lehrmann","R","Y",542
"Galveston                     ",167,"0104","1670104","Sup Ct 3","Lehrmann","R","Y",396
"Galveston                     ",167,"0105","1670105","Sup Ct 3","Lehrmann","R","Y",77
"Galveston                     ",167,"0142","1670142","Sup Ct 3","Lehrmann","R","Y",743
"Galveston                     ",167,"0144","1670144","Sup Ct 3","Lehrmann","R","Y",1015
"Galveston                     ",167,"0146","1670146","Sup Ct 3","Lehrmann","R","Y",981
"Galveston                     ",167,"0148","1670148","Sup Ct 3","Lehrmann","R","Y",1245
"Galveston                     ",167,"0150","1670150","Sup Ct 3","Lehrmann","R","Y",797
"Galveston                     ",167,"0151","1670151","Sup Ct 3","Lehrmann","R","Y",1277
"Galveston                     ",167,"0152","1670152","Sup Ct 3","Lehrmann","R","Y",2327
"Galveston                     ",167,"0159","1670159","Sup Ct 3","Lehrmann","R","Y",1375
"Galveston                     ",167,"0165","1670165","Sup Ct 3","Lehrmann","R","Y",1703
"Galveston                     ",167,"0166","1670166","Sup Ct 3","Lehrmann","R","Y",1283
"Galveston                     ",167,"0167","1670167","Sup Ct 3","Lehrmann","R","Y",2555
"Galveston                     ",167,"0168","1670168","Sup Ct 3","Lehrmann","R","Y",0
"Galveston                     ",167,"0169","1670169","Sup Ct 3","Lehrmann","R","Y",0
"Galveston                     ",167,"0170","1670170","Sup Ct 3","Lehrmann","R","Y",1438
"Galveston                     ",167,"0172","1670172","Sup Ct 3","Lehrmann","R","Y",222
"Galveston                     ",167,"0192","1670192","Sup Ct 3","Lehrmann","R","Y",244
"Galveston                     ",167,"0193","1670193","Sup Ct 3","Lehrmann","R","Y",1173
"Galveston                     ",167,"0197","1670197","Sup Ct 3","Lehrmann","R","Y",332
"Galveston                     ",167,"0218","1670218","Sup Ct 3","Lehrmann","R","Y",893
"Galveston                     ",167,"0219","1670219","Sup Ct 3","Lehrmann","R","Y",620
"Galveston                     ",167,"0220","1670220","Sup Ct 3","Lehrmann","R","Y",2026
"Galveston                     ",167,"0221","1670221","Sup Ct 3","Lehrmann","R","Y",943
"Galveston                     ",167,"0223","1670223","Sup Ct 3","Lehrmann","R","Y",796
"Galveston                     ",167,"0224","1670224","Sup Ct 3","Lehrmann","R","Y",999
"Galveston                     ",167,"0225","1670225","Sup Ct 3","Lehrmann","R","Y",1467
"Galveston                     ",167,"0226","1670226","Sup Ct 3","Lehrmann","R","Y",911
"Galveston                     ",167,"0227","1670227","Sup Ct 3","Lehrmann","R","Y",1449
"Galveston                     ",167,"0228","1670228","Sup Ct 3","Lehrmann","R","Y",1622
"Galveston                     ",167,"0232","1670232","Sup Ct 3","Lehrmann","R","Y",564
"Galveston                     ",167,"0258","1670258","Sup Ct 3","Lehrmann","R","Y",1087
"Galveston                     ",167,"0263","1670263","Sup Ct 3","Lehrmann","R","Y",3100
"Galveston                     ",167,"0274","1670274","Sup Ct 3","Lehrmann","R","Y",387
"Galveston                     ",167,"0275","1670275","Sup Ct 3","Lehrmann","R","Y",178
"Galveston                     ",167,"0276","1670276","Sup Ct 3","Lehrmann","R","Y",751
"Galveston                     ",167,"0277","1670277","Sup Ct 3","Lehrmann","R","Y",1194
"Galveston                     ",167,"0278","1670278","Sup Ct 3","Lehrmann","R","Y",1314
"Galveston                     ",167,"0279","1670279","Sup Ct 3","Lehrmann","R","Y",573
"Galveston                     ",167,"0280","1670280","Sup Ct 3","Lehrmann","R","Y",63
"Galveston                     ",167,"0281","1670281","Sup Ct 3","Lehrmann","R","Y",97
"Galveston                     ",167,"0283","1670283","Sup Ct 3","Lehrmann","R","Y",1346
"Galveston                     ",167,"0301","1670301","Sup Ct 3","Lehrmann","R","Y",279
"Galveston                     ",167,"0306","1670306","Sup Ct 3","Lehrmann","R","Y",1082
"Galveston                     ",167,"0309","1670309","Sup Ct 3","Lehrmann","R","Y",45
"Galveston                     ",167,"0311","1670311","Sup Ct 3","Lehrmann","R","Y",72
"Galveston                     ",167,"0312","1670312","Sup Ct 3","Lehrmann","R","Y",0
"Galveston                     ",167,"0314","1670314","Sup Ct 3","Lehrmann","R","Y",468
"Galveston                     ",167,"0315","1670315","Sup Ct 3","Lehrmann","R","Y",652
"Galveston                     ",167,"0330","1670330","Sup Ct 3","Lehrmann","R","Y",476
"Galveston                     ",167,"0331","1670331","Sup Ct 3","Lehrmann","R","Y",268
"Galveston                     ",167,"0334","1670334","Sup Ct 3","Lehrmann","R","Y",109
"Galveston                     ",167,"0336","1670336","Sup Ct 3","Lehrmann","R","Y",262
"Galveston                     ",167,"0338","1670338","Sup Ct 3","Lehrmann","R","Y",702
"Galveston                     ",167,"0340","1670340","Sup Ct 3","Lehrmann","R","Y",27
"Galveston                     ",167,"0341","1670341","Sup Ct 3","Lehrmann","R","Y",356
"Galveston                     ",167,"0343","1670343","Sup Ct 3","Lehrmann","R","Y",380
"Galveston                     ",167,"0345","1670345","Sup Ct 3","Lehrmann","R","Y",44
"Galveston                     ",167,"0347","1670347","Sup Ct 3","Lehrmann","R","Y",189
"Galveston                     ",167,"0389","1670389","Sup Ct 3","Lehrmann","R","Y",138
"Galveston                     ",167,"0391","1670391","Sup Ct 3","Lehrmann","R","Y",38
"Galveston                     ",167,"0394","1670394","Sup Ct 3","Lehrmann","R","Y",10
"Galveston                     ",167,"0398","1670398","Sup Ct 3","Lehrmann","R","Y",126
"Galveston                     ",167,"0399","1670399","Sup Ct 3","Lehrmann","R","Y",57
"Galveston                     ",167,"0401","1670401","Sup Ct 3","Lehrmann","R","Y",0
"Galveston                     ",167,"0439","1670439","Sup Ct 3","Lehrmann","R","Y",1595
"Galveston                     ",167,"0453","1670453","Sup Ct 3","Lehrmann","R","Y",1928
"Galveston                     ",167,"0454","1670454","Sup Ct 3","Lehrmann","R","Y",1688
"Galveston                     ",167,"0455","1670455","Sup Ct 3","Lehrmann","R","Y",834
"Galveston                     ",167,"0456","1670456","Sup Ct 3","Lehrmann","R","Y",1961
"Galveston                     ",167,"0457","1670457","Sup Ct 3","Lehrmann","R","Y",2308
"Galveston                     ",167,"0460","1670460","Sup Ct 3","Lehrmann","R","Y",2851
"Galveston                     ",167,"0461","1670461","Sup Ct 3","Lehrmann","R","Y",1977
"Galveston                     ",167,"0462","1670462","Sup Ct 3","Lehrmann","R","Y",2331
"Galveston                     ",167,"0464","1670464","Sup Ct 3","Lehrmann","R","Y",1475
"Galveston                     ",167,"0471","1670471","Sup Ct 3","Lehrmann","R","Y",922
"Galveston                     ",167,"0482","1670482","Sup Ct 3","Lehrmann","R","Y",84
"Galveston                     ",167,"0487","1670487","Sup Ct 3","Lehrmann","R","Y",2461
"Galveston                     ",167,"0488","1670488","Sup Ct 3","Lehrmann","R","Y",1780
"Galveston                     ",167,"0490","1670490","Sup Ct 3","Lehrmann","R","Y",2098
"Galveston                     ",167,"1051","1671051","Sup Ct 3","Lehrmann","R","Y",165
"Galveston                     ",167,"1651","1671651","Sup Ct 3","Lehrmann","R","Y",0
"Galveston                     ",167,"2321","1672321","Sup Ct 3","Lehrmann","R","Y",0
"Galveston                     ",167,"2322","1672322","Sup Ct 3","Lehrmann","R","Y",0
"Galveston                     ",167,"2323","1672323","Sup Ct 3","Lehrmann","R","Y",242
"Galveston                     ",167,"2801","1672801","Sup Ct 3","Lehrmann","R","Y",0
"Galveston                     ",167,"3061","1673061","Sup Ct 3","Lehrmann","R","Y",0
"Galveston                     ",167,"0316A","1670316A","Sup Ct 3","Lehrmann","R","Y",286
"Galveston                     ",167,"0316B","1670316B","Sup Ct 3","Lehrmann","R","Y",0
"Galveston                     ",167,"3301","1673301","Sup Ct 3","Lehrmann","R","Y",2
"Galveston                     ",167,"3311","1673311","Sup Ct 3","Lehrmann","R","Y",80
"Galveston                     ",167,"4391","1674391","Sup Ct 3","Lehrmann","R","Y",20
"Galveston                     ",167,"0103","1670103","Sup Ct 3","Westergren","D","N",136
"Galveston                     ",167,"0104","1670104","Sup Ct 3","Westergren","D","N",103
"Galveston                     ",167,"0105","1670105","Sup Ct 3","Westergren","D","N",45
"Galveston                     ",167,"0142","1670142","Sup Ct 3","Westergren","D","N",549
"Galveston                     ",167,"0144","1670144","Sup Ct 3","Westergren","D","N",393
"Galveston                     ",167,"0146","1670146","Sup Ct 3","Westergren","D","N",542
"Galveston                     ",167,"0148","1670148","Sup Ct 3","Westergren","D","N",790
"Galveston                     ",167,"0150","1670150","Sup Ct 3","Westergren","D","N",470
"Galveston                     ",167,"0151","1670151","Sup Ct 3","Westergren","D","N",403
"Galveston                     ",167,"0152","1670152","Sup Ct 3","Westergren","D","N",705
"Galveston                     ",167,"0159","1670159","Sup Ct 3","Westergren","D","N",640
"Galveston                     ",167,"0165","1670165","Sup Ct 3","Westergren","D","N",555
"Galveston                     ",167,"0166","1670166","Sup Ct 3","Westergren","D","N",456
"Galveston                     ",167,"0167","1670167","Sup Ct 3","Westergren","D","N",807
"Galveston                     ",167,"0168","1670168","Sup Ct 3","Westergren","D","N",0
"Galveston                     ",167,"0169","1670169","Sup Ct 3","Westergren","D","N",0
"Galveston                     ",167,"0170","1670170","Sup Ct 3","Westergren","D","N",411
"Galveston                     ",167,"0172","1670172","Sup Ct 3","Westergren","D","N",86
"Galveston                     ",167,"0192","1670192","Sup Ct 3","Westergren","D","N",106
"Galveston                     ",167,"0193","1670193","Sup Ct 3","Westergren","D","N",409
"Galveston                     ",167,"0197","1670197","Sup Ct 3","Westergren","D","N",130
"Galveston                     ",167,"0218","1670218","Sup Ct 3","Westergren","D","N",899
"Galveston                     ",167,"0219","1670219","Sup Ct 3","Westergren","D","N",462
"Galveston                     ",167,"0220","1670220","Sup Ct 3","Westergren","D","N",982
"Galveston                     ",167,"0221","1670221","Sup Ct 3","Westergren","D","N",296
"Galveston                     ",167,"0223","1670223","Sup Ct 3","Westergren","D","N",746
"Galveston                     ",167,"0224","1670224","Sup Ct 3","Westergren","D","N",880
"Galveston                     ",167,"0225","1670225","Sup Ct 3","Westergren","D","N",361
"Galveston                     ",167,"0226","1670226","Sup Ct 3","Westergren","D","N",453
"Galveston                     ",167,"0227","1670227","Sup Ct 3","Westergren","D","N",323
"Galveston                     ",167,"0228","1670228","Sup Ct 3","Westergren","D","N",326
"Galveston                     ",167,"0232","1670232","Sup Ct 3","Westergren","D","N",518
"Galveston                     ",167,"0258","1670258","Sup Ct 3","Westergren","D","N",213
"Galveston                     ",167,"0263","1670263","Sup Ct 3","Westergren","D","N",991
"Galveston                     ",167,"0274","1670274","Sup Ct 3","Westergren","D","N",107
"Galveston                     ",167,"0275","1670275","Sup Ct 3","Westergren","D","N",39
"Galveston                     ",167,"0276","1670276","Sup Ct 3","Westergren","D","N",468
"Galveston                     ",167,"0277","1670277","Sup Ct 3","Westergren","D","N",228
"Galveston                     ",167,"0278","1670278","Sup Ct 3","Westergren","D","N",277
"Galveston                     ",167,"0279","1670279","Sup Ct 3","Westergren","D","N",91
"Galveston                     ",167,"0280","1670280","Sup Ct 3","Westergren","D","N",18
"Galveston                     ",167,"0281","1670281","Sup Ct 3","Westergren","D","N",30
"Galveston                     ",167,"0283","1670283","Sup Ct 3","Westergren","D","N",575
"Galveston                     ",167,"0301","1670301","Sup Ct 3","Westergren","D","N",349
"Galveston                     ",167,"0306","1670306","Sup Ct 3","Westergren","D","N",1297
"Galveston                     ",167,"0309","1670309","Sup Ct 3","Westergren","D","N",27
"Galveston                     ",167,"0311","1670311","Sup Ct 3","Westergren","D","N",400
"Galveston                     ",167,"0312","1670312","Sup Ct 3","Westergren","D","N",0
"Galveston                     ",167,"0314","1670314","Sup Ct 3","Westergren","D","N",1459
"Galveston                     ",167,"0315","1670315","Sup Ct 3","Westergren","D","N",1227
"Galveston                     ",167,"0330","1670330","Sup Ct 3","Westergren","D","N",914
"Galveston                     ",167,"0331","1670331","Sup Ct 3","Westergren","D","N",1055
"Galveston                     ",167,"0334","1670334","Sup Ct 3","Westergren","D","N",589
"Galveston                     ",167,"0336","1670336","Sup Ct 3","Westergren","D","N",2126
"Galveston                     ",167,"0338","1670338","Sup Ct 3","Westergren","D","N",1104
"Galveston                     ",167,"0340","1670340","Sup Ct 3","Westergren","D","N",293
"Galveston                     ",167,"0341","1670341","Sup Ct 3","Westergren","D","N",304
"Galveston                     ",167,"0343","1670343","Sup Ct 3","Westergren","D","N",543
"Galveston                     ",167,"0345","1670345","Sup Ct 3","Westergren","D","N",361
"Galveston                     ",167,"0347","1670347","Sup Ct 3","Westergren","D","N",497
"Galveston                     ",167,"0389","1670389","Sup Ct 3","Westergren","D","N",249
"Galveston                     ",167,"0391","1670391","Sup Ct 3","Westergren","D","N",36
"Galveston                     ",167,"0394","1670394","Sup Ct 3","Westergren","D","N",8
"Galveston                     ",167,"0398","1670398","Sup Ct 3","Westergren","D","N",139
"Galveston                     ",167,"0399","1670399","Sup Ct 3","Westergren","D","N",75
"Galveston                     ",167,"0401","1670401","Sup Ct 3","Westergren","D","N",0
"Galveston                     ",167,"0439","1670439","Sup Ct 3","Westergren","D","N",636
"Galveston                     ",167,"0453","1670453","Sup Ct 3","Westergren","D","N",753
"Galveston                     ",167,"0454","1670454","Sup Ct 3","Westergren","D","N",784
"Galveston                     ",167,"0455","1670455","Sup Ct 3","Westergren","D","N",388
"Galveston                     ",167,"0456","1670456","Sup Ct 3","Westergren","D","N",403
"Galveston                     ",167,"0457","1670457","Sup Ct 3","Westergren","D","N",486
"Galveston                     ",167,"0460","1670460","Sup Ct 3","Westergren","D","N",610
"Galveston                     ",167,"0461","1670461","Sup Ct 3","Westergren","D","N",384
"Galveston                     ",167,"0462","1670462","Sup Ct 3","Westergren","D","N",506
"Galveston                     ",167,"0464","1670464","Sup Ct 3","Westergren","D","N",447
"Galveston                     ",167,"0471","1670471","Sup Ct 3","Westergren","D","N",440
"Galveston                     ",167,"0482","1670482","Sup Ct 3","Westergren","D","N",13
"Galveston                     ",167,"0487","1670487","Sup Ct 3","Westergren","D","N",875
"Galveston                     ",167,"0488","1670488","Sup Ct 3","Westergren","D","N",679
"Galveston                     ",167,"0490","1670490","Sup Ct 3","Westergren","D","N",662
"Galveston                     ",167,"1051","1671051","Sup Ct 3","Westergren","D","N",151
"Galveston                     ",167,"1651","1671651","Sup Ct 3","Westergren","D","N",0
"Galveston                     ",167,"2321","1672321","Sup Ct 3","Westergren","D","N",0
"Galveston                     ",167,"2322","1672322","Sup Ct 3","Westergren","D","N",0
"Galveston                     ",167,"2323","1672323","Sup Ct 3","Westergren","D","N",43
"Galveston                     ",167,"2801","1672801","Sup Ct 3","Westergren","D","N",0
"Galveston                     ",167,"3061","1673061","Sup Ct 3","Westergren","D","N",0
"Galveston                     ",167,"0316A","1670316A","Sup Ct 3","Westergren","D","N",717
"Galveston                     ",167,"0316B","1670316B","Sup Ct 3","Westergren","D","N",0
"Galveston                     ",167,"3301","1673301","Sup Ct 3","Westergren","D","N",1
"Galveston                     ",167,"3311","1673311","Sup Ct 3","Westergren","D","N",108
"Galveston                     ",167,"4391","1674391","Sup Ct 3","Westergren","D","N",2
"Galveston                     ",167,"0103","1670103","Sup Ct 3","Glass","L","N",16
"Galveston                     ",167,"0104","1670104","Sup Ct 3","Glass","L","N",24
"Galveston                     ",167,"0105","1670105","Sup Ct 3","Glass","L","N",11
"Galveston                     ",167,"0142","1670142","Sup Ct 3","Glass","L","N",47
"Galveston                     ",167,"0144","1670144","Sup Ct 3","Glass","L","N",63
"Galveston                     ",167,"0146","1670146","Sup Ct 3","Glass","L","N",68
"Galveston                     ",167,"0148","1670148","Sup Ct 3","Glass","L","N",85
"Galveston                     ",167,"0150","1670150","Sup Ct 3","Glass","L","N",42
"Galveston                     ",167,"0151","1670151","Sup Ct 3","Glass","L","N",89
"Galveston                     ",167,"0152","1670152","Sup Ct 3","Glass","L","N",152
"Galveston                     ",167,"0159","1670159","Sup Ct 3","Glass","L","N",100
"Galveston                     ",167,"0165","1670165","Sup Ct 3","Glass","L","N",125
"Galveston                     ",167,"0166","1670166","Sup Ct 3","Glass","L","N",91
"Galveston                     ",167,"0167","1670167","Sup Ct 3","Glass","L","N",176
"Galveston                     ",167,"0168","1670168","Sup Ct 3","Glass","L","N",0
"Galveston                     ",167,"0169","1670169","Sup Ct 3","Glass","L","N",0
"Galveston                     ",167,"0170","1670170","Sup Ct 3","Glass","L","N",104
"Galveston                     ",167,"0172","1670172","Sup Ct 3","Glass","L","N",7
"Galveston                     ",167,"0192","1670192","Sup Ct 3","Glass","L","N",15
"Galveston                     ",167,"0193","1670193","Sup Ct 3","Glass","L","N",86
"Galveston                     ",167,"0197","1670197","Sup Ct 3","Glass","L","N",23
"Galveston                     ",167,"0218","1670218","Sup Ct 3","Glass","L","N",83
"Galveston                     ",167,"0219","1670219","Sup Ct 3","Glass","L","N",29
"Galveston                     ",167,"0220","1670220","Sup Ct 3","Glass","L","N",140
"Galveston                     ",167,"0221","1670221","Sup Ct 3","Glass","L","N",49
"Galveston                     ",167,"0223","1670223","Sup Ct 3","Glass","L","N",62
"Galveston                     ",167,"0224","1670224","Sup Ct 3","Glass","L","N",87
"Galveston                     ",167,"0225","1670225","Sup Ct 3","Glass","L","N",62
"Galveston                     ",167,"0226","1670226","Sup Ct 3","Glass","L","N",46
"Galveston                     ",167,"0227","1670227","Sup Ct 3","Glass","L","N",56
"Galveston                     ",167,"0228","1670228","Sup Ct 3","Glass","L","N",67
"Galveston                     ",167,"0232","1670232","Sup Ct 3","Glass","L","N",32
"Galveston                     ",167,"0258","1670258","Sup Ct 3","Glass","L","N",70
"Galveston                     ",167,"0263","1670263","Sup Ct 3","Glass","L","N",200
"Galveston                     ",167,"0274","1670274","Sup Ct 3","Glass","L","N",21
"Galveston                     ",167,"0275","1670275","Sup Ct 3","Glass","L","N",5
"Galveston                     ",167,"0276","1670276","Sup Ct 3","Glass","L","N",74
"Galveston                     ",167,"0277","1670277","Sup Ct 3","Glass","L","N",51
"Galveston                     ",167,"0278","1670278","Sup Ct 3","Glass","L","N",57
"Galveston                     ",167,"0279","1670279","Sup Ct 3","Glass","L","N",34
"Galveston                     ",167,"0280","1670280","Sup Ct 3","Glass","L","N",3
"Galveston                     ",167,"0281","1670281","Sup Ct 3","Glass","L","N",5
"Galveston                     ",167,"0283","1670283","Sup Ct 3","Glass","L","N",97
"Galveston                     ",167,"0301","1670301","Sup Ct 3","Glass","L","N",19
"Galveston                     ",167,"0306","1670306","Sup Ct 3","Glass","L","N",140
"Galveston                     ",167,"0309","1670309","Sup Ct 3","Glass","L","N",1
"Galveston                     ",167,"0311","1670311","Sup Ct 3","Glass","L","N",9
"Galveston                     ",167,"0312","1670312","Sup Ct 3","Glass","L","N",0
"Galveston                     ",167,"0314","1670314","Sup Ct 3","Glass","L","N",78
"Galveston                     ",167,"0315","1670315","Sup Ct 3","Glass","L","N",120
"Galveston                     ",167,"0330","1670330","Sup Ct 3","Glass","L","N",35
"Galveston                     ",167,"0331","1670331","Sup Ct 3","Glass","L","N",24
"Galveston                     ",167,"0334","1670334","Sup Ct 3","Glass","L","N",11
"Galveston                     ",167,"0336","1670336","Sup Ct 3","Glass","L","N",30
"Galveston                     ",167,"0338","1670338","Sup Ct 3","Glass","L","N",64
"Galveston                     ",167,"0340","1670340","Sup Ct 3","Glass","L","N",4
"Galveston                     ",167,"0341","1670341","Sup Ct 3","Glass","L","N",33
"Galveston                     ",167,"0343","1670343","Sup Ct 3","Glass","L","N",35
"Galveston                     ",167,"0345","1670345","Sup Ct 3","Glass","L","N",9
"Galveston                     ",167,"0347","1670347","Sup Ct 3","Glass","L","N",21
"Galveston                     ",167,"0389","1670389","Sup Ct 3","Glass","L","N",12
"Galveston                     ",167,"0391","1670391","Sup Ct 3","Glass","L","N",2
"Galveston                     ",167,"0394","1670394","Sup Ct 3","Glass","L","N",1
"Galveston                     ",167,"0398","1670398","Sup Ct 3","Glass","L","N",9
"Galveston                     ",167,"0399","1670399","Sup Ct 3","Glass","L","N",6
"Galveston                     ",167,"0401","1670401","Sup Ct 3","Glass","L","N",0
"Galveston                     ",167,"0439","1670439","Sup Ct 3","Glass","L","N",123
"Galveston                     ",167,"0453","1670453","Sup Ct 3","Glass","L","N",143
"Galveston                     ",167,"0454","1670454","Sup Ct 3","Glass","L","N",149
"Galveston                     ",167,"0455","1670455","Sup Ct 3","Glass","L","N",66
"Galveston                     ",167,"0456","1670456","Sup Ct 3","Glass","L","N",76
"Galveston                     ",167,"0457","1670457","Sup Ct 3","Glass","L","N",121
"Galveston                     ",167,"0460","1670460","Sup Ct 3","Glass","L","N",151
"Galveston                     ",167,"0461","1670461","Sup Ct 3","Glass","L","N",92
"Galveston                     ",167,"0462","1670462","Sup Ct 3","Glass","L","N",103
"Galveston                     ",167,"0464","1670464","Sup Ct 3","Glass","L","N",110
"Galveston                     ",167,"0471","1670471","Sup Ct 3","Glass","L","N",61
"Galveston                     ",167,"0482","1670482","Sup Ct 3","Glass","L","N",1
"Galveston                     ",167,"0487","1670487","Sup Ct 3","Glass","L","N",155
"Galveston                     ",167,"0488","1670488","Sup Ct 3","Glass","L","N",118
"Galveston                     ",167,"0490","1670490","Sup Ct 3","Glass","L","N",131
"Galveston                     ",167,"1051","1671051","Sup Ct 3","Glass","L","N",13
"Galveston                     ",167,"1651","1671651","Sup Ct 3","Glass","L","N",0
"Galveston                     ",167,"2321","1672321","Sup Ct 3","Glass","L","N",0
"Galveston                     ",167,"2322","1672322","Sup Ct 3","Glass","L","N",0
"Galveston                     ",167,"2323","1672323","Sup Ct 3","Glass","L","N",9
"Galveston                     ",167,"2801","1672801","Sup Ct 3","Glass","L","N",0
"Galveston                     ",167,"3061","1673061","Sup Ct 3","Glass","L","N",0
"Galveston                     ",167,"0316A","1670316A","Sup Ct 3","Glass","L","N",48
